Entity,Code,Year,Deaths in all state-based conflict types
Africa,,1946,0
Africa,,1947,9566
Africa,,1948,0
Africa,,1949,0
Africa,,1950,0
Africa,,1951,0
Africa,,1952,2591
Africa,,1953,2903.5
Africa,,1954,24033.5
Africa,,1955,24033.5
Africa,,1956,23783.5
Africa,,1957,24456
Africa,,1958,24493
Africa,,1959,24181
Africa,,1960,137141
Africa,,1961,143332
Africa,,1962,26515
Africa,,1963,10756
Africa,,1964,22434.5
Africa,,1965,22041.5
Africa,,1966,21134
Africa,,1967,36411.5
Africa,,1968,50172
Africa,,1969,50121.5
Africa,,1970,23509.5
Africa,,1971,21579.5
Africa,,1972,22167
Africa,,1973,17746.5
Africa,,1974,19685.5
Africa,,1975,19701.5
Africa,,1976,31136.5
Africa,,1977,33437.5
Africa,,1978,42742.5
Africa,,1979,33564
Africa,,1980,38086
Africa,,1981,43049
Africa,,1982,42662.5
Africa,,1983,48115.5
Africa,,1984,66926.5
Africa,,1985,65433.5
Africa,,1986,68116.5
Africa,,1987,62845.5
Africa,,1988,39715.5
Africa,,1989,34546
Africa,,1990,64839
Africa,,1991,25479
Africa,,1992,6887
Africa,,1993,15064
Africa,,1994,8931
Africa,,1995,6678
Africa,,1996,7685
Africa,,1997,23129
Africa,,1998,23274
Africa,,1999,61191
Africa,,2000,59700
Africa,,2001,10595
Africa,,2002,7217
Africa,,2003,6417
Africa,,2004,5999
Africa,,2005,1588
Africa,,2006,3694
Africa,,2007,3349
Africa,,2008,4653
Africa,,2009,5617
Africa,,2010,3971
Africa,,2011,8422
Africa,,2012,6522
Africa,,2013,7169
Africa,,2014,10151
Africa,,2015,10189
Africa,,2016,9864
Africa,,2017,9390
Africa,,2018,6808
Africa,,2019,8337
Africa,,2020,10621
Americas,,1946,1000
Americas,,1947,4000
Americas,,1948,2000
Americas,,1949,40
Americas,,1950,34
Americas,,1951,0
Americas,,1952,1725
Americas,,1953,28
Americas,,1954,78
Americas,,1955,850
Americas,,1956,982.5
Americas,,1957,1023
Americas,,1958,983.5
Americas,,1959,0
Americas,,1960,0
Americas,,1961,823.5
Americas,,1962,400
Americas,,1963,25
Americas,,1964,230
Americas,,1965,4665
Americas,,1966,400
Americas,,1967,502
Americas,,1968,1010
Americas,,1969,3797
Americas,,1970,1720
Americas,,1971,1650
Americas,,1972,2061
Americas,,1973,3395
Americas,,1974,2575
Americas,,1975,2040
Americas,,1976,2580
Americas,,1977,1717
Americas,,1978,4300
Americas,,1979,9570
Americas,,1980,3599
Americas,,1981,19541
Americas,,1982,14838
Americas,,1983,16913
Americas,,1984,16898
Americas,,1985,13168
Americas,,1986,11638
Americas,,1987,11419
Americas,,1988,6798
Americas,,1989,8715
Americas,,1990,2610
Americas,,1991,2183
Americas,,1992,2726
Americas,,1993,912
Americas,,1994,1558
Americas,,1995,1127
Americas,,1996,1309
Americas,,1997,653
Americas,,1998,964
Americas,,1999,1449
Americas,,2000,1078
Americas,,2001,3912.66666666667
Americas,,2002,3141
Americas,,2003,2776.75
Americas,,2004,1819
Americas,,2005,1497
Americas,,2006,748
Americas,,2007,522
Americas,,2008,574
Americas,,2009,877
Americas,,2010,760
Americas,,2011,405
Americas,,2012,436
Americas,,2013,178
Americas,,2014,250
Americas,,2015,199
Americas,,2016,147
Americas,,2017,111
Americas,,2018,147
Americas,,2019,171
Americas,,2020,33
Asia & Oceania,,1946,247064
Asia & Oceania,,1947,353084.5
Asia & Oceania,,1948,418657
Asia & Oceania,,1949,424677.5
Asia & Oceania,,1950,595283
Asia & Oceania,,1951,404600
Asia & Oceania,,1952,149483.5
Asia & Oceania,,1953,99870
