"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-12-01","4","20300","501","0.024679802955665023","30","4","131","54","14","7","203","0","0","0","0","0","0","65","58","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-02","8","12445","369","0.029650462032944958","10","9","47","46","52","1","149","0","0","0","0","0","0","315","55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-03","5","4532","167","0.03684907325684025","3","4","35","34","5","0","70","0","0","0","0","0","0","38","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-04","4","6855","598","0.08723559445660102","13","7","180","25","8","0","69","0","0","0","0","0","0","300","296","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-05","3","10394","1119","0.10765826438329806","9","6","347","32","7","0","92","0","0","0","0","0","0","631","626","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-06","1","2212","154","0.06962025316455696","4","0","37","3","14","0","32","0","0","0","0","0","0","64","64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-07","22","10888","245","0.022501836884643644","9","22","38","27","28","0","88","0","0","0","0","0","0","39","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-08","4","5275","133","0.025213270142180094","5","3","40","13","19","1","47","0","0","0","0","0","0","8","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-09","14","16656","285","0.01711095100864553","16","13","92","39","6","0","91","0","0","0","0","0","0","36","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-10","2","4102","121","0.029497805948317895","1","1","20","12","20","0","46","0","0","0","0","0","0","53","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-11","0","1165","31","0.026609442060085836","0","0","5","4","12","0","8","0","0","0","0","0","0","16","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-12","3","3655","90","0.024623803009575923","5","2","38","8","9","0","24","0","0","0","0","0","0","12","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-13","0","2185","49","0.022425629290617848","1","0","17","4","5","2","14","0","0","0","0","0","0","10","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-14","6","13875","532","0.03834234234234234","3","14","111","56","15","0","258","0","0","0","0","0","0","78","75","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-12-15","0","7014","142","0.020245223838038208","1","1","26","15","8","0","64","0","0","0","0","0","0","34","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
