Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,0,..,5,5.454545455,5.9,7,8.26,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0,0.114097347,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.23767711
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0,0.491705679,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,57.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,0,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,0,10.53883561,81,..,..,..,..,..,91.56746703,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0,0.105045562,3.1,6.5,8.9,21.4,29,29,32,35,36,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,0,6.482225737,52,58,63.4,67.78,70,73,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0,7.038683086,51,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0,1.300470022,32,37.5,41.9,54.62280586,59.10083377,64.34602977,64.74488433,68.24505226,66.54394969,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,0,15.44282295,69,74,78.9,83.78,88.66122693,93.54245387,97.17,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,0.585094712,46.75611561,79.48769771,79,83.45349717,84,84.56051491,86.54,86.54504885,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,0.130369377,33.73013295,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479,87.52942813
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,0,0.147757576,50,54.2,73.00000137,75.00001564,77,78.2,79,79.79999549,81.09999907,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,0,8,65,71.74820281,72,76.92,78,80,85,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,0,6.153732546,76.9999665,88,90.0000397,90.50313348,93.4783008,97.9999807,95.87813575,98.64467258,99.70149256,99.53951246
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,0,0.071039423,4.5,5,6.63,7.4,8.3,9.2,10.3,11.5,12.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,0,3.973678355,66.5,71.2,71.8,75.16,76.11,79.54939789,81.76077839,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,0,1.860398126,39.64889566,46.91,54.17,59.02,62.23036091,71.11304576,74.43644541,79.12988669,82.78915209,85.08791245
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,0.00100674,29.43169169,81.609996,80.71999055,82.1702,85,85.05294175,86.51647666,87.67968082,88.647343,90.27542981,91.52423735
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,0,5.963835303,30.7,31,33.6,38.7,41.59,44.57574032,47.0826258,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,0,0.225247851,4.148323066,4.5,4.9,6,11.25498791,11.99,13.3,26,29,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,0,42.94986002,88.336,91.29930452,95.3,96.8,98.32360965,98,98.37,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,0,0.400944447,14.4,15.6,22.4,30.3,39.8,41.77264453,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,0,1.442763585,30,35.34,36.99,34.6,37.49,39.6975146,43.83227607,44.2861422,47.47481911,55.13905053
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,0,1.08296075,43.88768653,45.06450043,48.52131417,49.91773243,52.6,60.25653543,64.89202051,70.12013504,69.94634763,73.21175294
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,0,2.902666622,9,16,30,36.74474744,37.31205037,39.36299738,41.41379464,58,61,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,0,2.870685159,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,73.91244005,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,0,..,37.4,37.6,..,..,..,77.70142968,77.70426829,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,0,8.996284534,56,60.27306504,64.5,68.77,71.2,90,94.86669164,95,95,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,0,5.370923469,47.97999305,51.89998767,53.0615,55.49,56.65625161,59.82554766,63.41010138,64.78201069,67.94698094,70.16248359
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,0,0.077080169,3,3.725034916,5,6,7,9,12,14,18,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,0,0.077248447,1.11,1.219999945,1.264218111,1.4,2.1,2.4,2.660748535,5,5.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,0,1.822443852,32,34.74,37.5,40.26,42.68301416,50.32281787,57.16214635,59.5,61.94339776,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,0,0.04702264,3.1,4.94,6,14,18,32.39845171,32.90027854,65.00000218,78.27288351,78.80000044
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,0,0.252120078,5,7.5,10,16.21487223,18.3,20.6,23.20297197,29.7,33.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Canada,CAN,0.360999701,51.3,83,83,85.8,87.12,90,91.16,92.70137191,94.64,96.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cayman Islands,CYM,0,..,69.46594499,69.7,71.4,74.1,77,79,81.06769325,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central African Republic,CAF,0,0.053394174,2.2,3,3.4,3.6,3.8,4,..,..,..,..
