Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,GridRefXY,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,Comments
1,1,"http://www.streetmap.co.uk/map?X=277324&Y=730857&SV=277324,730857&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 77324 30857,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1,Ben Chonzie,1,01A,931,3054,51 52,OL47W 368W 379W,NN773308,NN 77324 30857,277324,730857,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
2,17,"http://www.streetmap.co.uk/map?X=262912&Y=718916&SV=262912,718916&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 62912 18916,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=17,Ben Vorlich,1,01B,985.3,3233,57,OL46N OL47W 365N 368W,NN629189,NN 62912 18916,262912,718916,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
3,18,"http://www.streetmap.co.uk/map?X=261746&Y=717465&SV=261746,717465&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 61746 17465,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=18,Stuc a' Chroin,1,01B,973,3192,57,OL46N OL47W 365N 368W,NN617174,NN 61746 17465,261746,717465,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
4,32,"http://www.streetmap.co.uk/map?X=236707&Y=702863&SV=236707,702863&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 36707 02863,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=32,Ben Lomond,1,01C,973.7,3195,56,OL39S 364S,NN367028,NN 36707 02863,236707,702863,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
5,26,"http://www.streetmap.co.uk/map?X=243276&Y=724417&SV=243276,724417&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43276 24417,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=26,Ben More,1,01C,1174,3852,51,OL46N 365N,NN432244,NN 43276 24417,243276,724417,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
6,27,"http://www.streetmap.co.uk/map?X=243481&Y=722712&SV=243481,722712&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43481 22712,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=27,Stob Binnein,1,01C,1165,3822,51,OL46N 365N,NN434227,NN 43481 22712,243481,722712,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,1891: Am Binnein (Stobinain)
7,28,"http://www.streetmap.co.uk/map?X=243842&Y=722052&SV=243842,722052&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 43842 22052,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=28,Stob Binnein - Stob Coire an Lochain,1,01C,1068,3504,51,OL46N 365N,NN438220,NN 43842 22052,243842,722052,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
8,39,"http://www.streetmap.co.uk/map?X=244847&Y=722468&SV=244847,722468&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 44847 22468,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=39,Stob Binnein - Creag a' Bhragit,1,01C,923,3028,51,OL46N 365N,NN448224,NN 44847 22468,244847,722468,TOP,,,,,,,,,,,
9,33,"http://www.streetmap.co.uk/map?X=245051&Y=722592&SV=245051,722592&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 45051 22592,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=33,Stob Binnein - Meall na Dige,1,01C,966,3169,51,OL46N 365N,NN450225,NN 45051 22592,245051,722592,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
10,30,"http://www.streetmap.co.uk/map?X=240927&Y=721215&SV=240927,721215&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 40927 21215,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=30,Cruach Ardrain,1,01C,1045.9,3431,51 56,OL39N 364N,NN409212,NN 40927 21215,240927,721215,MUN,,,,,,MUN,MUN,MUN,MUN,MUN,See named worksheet
11,29,"http://www.streetmap.co.uk/map?X=240815&Y=721112&SV=240815,721112&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 40815 21112,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=29,Cruach Ardrain SW Top,1,01C,1044.9,3428,51 56,OL39N 364N,NN408211,NN 40815 21112,240815,721112,TOP,MUN,MUN,MUN,MUN,MUN,,,,,,See named worksheet
12,40,"http://www.streetmap.co.uk/map?X=241285&Y=721716&SV=241285,721716&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41285 21716,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=40,Cruach Ardrain - Stob Garbh SE Top,1,01C,923.5,3030,51 56,OL39N 364N,NN412217,NN 41285 21716,241285,721716,TOP,,,,,,,,,,,1891: Top between Cruach Ardran and Stob Garbh
13,34,"http://www.streetmap.co.uk/map?X=241112&Y=722142&SV=241112,722142&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41112 22142,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=34,Cruach Ardrain - Stob Garbh,1,01C,957.7,3142,51,OL39N 364N,NN411221,NN 41112 22142,241112,722142,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,
14,31,"http://www.streetmap.co.uk/map?X=237873&Y=719343&SV=237873,719343&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37873 19343,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=31,An Caisteal,1,01C,995.9,3267,50 56,OL39N 364N,NN378193,NN 37873 19343,237873,719343,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,
