Table 1: Most people in the UK identify as heterosexual or straight
"Sexual orientation, UK, 2015 to 2019 (percentage) "

Sexual orientation,2015,2016,2017,2018,2019
"Heterosexual or 
straight",95.2,95.0,95.0,94.6,93.7
"Gay or 
lesbian",1.2,1.2,1.3,1.4,1.6
Bisexual,0.7,0.8,0.8,0.9,1.1
Other,0.4,0.5,0.6,0.6,0.7
"Do not know 
or refuse",2.6,2.5,2.3,2.5,3.0

Source: ,Office for National Statistics – Annual Population Survey
Notes
1,Quality measures (including confidence intervals and coefficient of variation) for the estimates are displayed within the reference tables.
2,Totals may not sum to 100% due to rounding. 
